1,5	13210	0,75	9907,5	8,9839	1102,80652	5,907	34
2,5	10486	0,77	8074,22	16,99785	475,01431	4,55391	102
3,5	21631	0,63	13627,53	25,26537	539,37588	4,3445	204
4,5	13084	0,83	10859,72	33,69055	322,33732	3,57837	340
5,5	14449	0,68	9825,32	42,1647	233,02242	3,05324	510
6,5	10820	0,89	9629,8	50,62873	190,20428	2,68315	714
7,5	30875	0,38	11732,5	59,05723	198,66323	2,58356	952
8,5	18614	0,51	9493,14	67,44238	140,75928	2,11384	1224
9,5	12711	0,71	9024,81	75,78442	119,0853	1,8354	1530
10,5	12679	0,51	6466,29	84,08689	76,9001	1,29798	1870
11,5	18891	0,39	7367,49	92,35436	79,77414	1,24371	2244
12,5	16330	0,36	5878,8	100,59139	58,44238	0,84917	2652
13,5	9678	0,59	5710,02	108,80214	52,48077	0,66461	3094
14,5	10413	0,66	6872,58	116,99027	58,74489	0,70591	3570
15,5	8454	1	8454	125,1589	67,54614	0,77882	4080
16,5	9896	0,81	8015,76	133,31068	60,12841	0,59997	4624
17,5	12746	0,66	8412,36	141,44787	59,47322	0,53018	5202
18,5	12677	0,47	5958,19	149,57235	39,83484	0,07382	5814
19,5	8100	1	8100	157,68573	51,368	0,27545	6460
20,5	14341	0,52	7457,32	165,78936	44,98069	0,09266	7140
21,5	11187	0,54	6040,98	173,88441	34,74136	-0,21327	7854
22,5	11833	0,69	8164,77	181,97186	44,86831	-0,00293	8602
23,5	7660	0,71	5438,6	190,05256	28,61629	-0,49617	9384
24,5	5591	1	5591	198,12724	28,21924	-0,55182	10200
