24
0.75	8.983	34
0.77	16.997	102
0.63	25.265	204
0.83	33.690	340
0.68	42.164	510
0.89	50.628	714
0.38	59.057	952
0.51	67.442	1224
0.71	75.784	1530
0.51	84.086	1870
0.39	92.354	2244
0.36	100.591	2652
0.59	108.802	3094
0.66	116.990	3570
1.00	125.158	4080
0.81	133.310	4624
0.66	141.447	5202
0.47	149.572	5814
1.00	157.685	6460
0.52	165.789	7140
0.54	173.884	7854
0.69	181.971	8602
0.71	190.052	9384
1.00	98.127	10200
